"env_step","Freeway-MinAtar_Transfer_From_Asterix-MinAtar - _step","Freeway-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","Freeway-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","Freeway-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","Freeway-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","Freeway-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"200704","49","49","49","0","0","0"
"204800","50","50","50","0","0","0"
"208896","51","51","51","0","0","0"
"212992","52","52","52","0","0","0"
"217088","53","53","53","0","0","0"
"221184","54","54","54","0","0","0"
"225280","55","55","55","0","0","0"
"229376","56","56","56","0","0","0"
"233472","57","57","57","0","0","0"
"237568","58","58","58","0","0","0"
"241664","59","59","59","0","0","0"
"245760","60","60","60","0","0","0"
"249856","61","61","61","0","0","0"
"253952","62","62","62","0","0","0"
"258048","63","63","63","0","0","0"
"262144","64","64","64","0","0","0"
"266240","65","65","65","0","0","0"
"270336","66","66","66","0","0","0"
"274432","67","67","67","0","0","0"
"278528","68","68","68","0","0","0"
"282624","69","69","69","0","0","0"
"286720","70","70","70","0","0","0"
"290816","71","71","71","0","0","0"
"294912","72","72","72","0","0","0"
"299008","73","73","73","0","0","0"
"303104","74","74","74","0","0","0"
"307200","75","75","75","0","0","0"
"311296","76","76","76","0","0","0"
"315392","77","77","77","0","0","0"
"319488","78","78","78","0","0","0"
"323584","79","79","79","0.4248046875","0.4248046875","0.4248046875"
"327680","80","80","80","0.46875","0.46875","0.46875"
"331776","81","81","81","0.46875","0.46875","0.46875"
"335872","82","82","82","0.46875","0.46875","0.46875"
"339968","83","83","83","0.46875","0.46875","0.46875"
"344064","84","84","84","0.46875","0.46875","0.46875"
"348160","85","85","85","0.46875","0.46875","0.46875"
"352256","86","86","86","0.46875","0.46875","0.46875"
"356352","87","87","87","0.46875","0.46875","0.46875"
"360448","88","88","88","0.46875","0.46875","0.46875"
"364544","89","89","89","0.46875","0.46875","0.46875"
"368640","90","90","90","0.46875","0.46875","0.46875"
"372736","91","91","91","0.46875","0.46875","0.46875"
"376832","92","92","92","0.46875","0.46875","0.46875"
"380928","93","93","93","0.46875","0.46875","0.46875"
"385024","94","94","94","0.46875","0.46875","0.46875"
"389120","95","95","95","0.46875","0.46875","0.46875"
"393216","96","96","96","0.46875","0.46875","0.46875"
"397312","97","97","97","0.46875","0.46875","0.46875"
"401408","98","98","98","0.46875","0.46875","0.46875"
"405504","99","99","99","0.46875","0.46875","0.46875"
"409600","100","100","100","0.46875","0.46875","0.46875"
"413696","101","101","101","0.46875","0.46875","0.46875"
"417792","102","102","102","0.46875","0.46875","0.46875"
"421888","103","103","103","0.46875","0.46875","0.46875"
"425984","104","104","104","0.46875","0.46875","0.46875"
"430080","105","105","105","0.46875","0.46875","0.46875"
"434176","106","106","106","0.46875","0.46875","0.46875"
"438272","107","107","107","0.46875","0.46875","0.46875"
"442368","108","108","108","0.46875","0.46875","0.46875"
"446464","109","109","109","0.46875","0.46875","0.46875"
"450560","110","110","110","0.46875","0.46875","0.46875"
"454656","111","111","111","0.46875","0.46875","0.46875"
"458752","112","112","112","0.46875","0.46875","0.46875"
"462848","113","113","113","0.46875","0.46875","0.46875"
"466944","114","114","114","0.46875","0.46875","0.46875"
"471040","115","115","115","0.46875","0.46875","0.46875"
"475136","116","116","116","0.46875","0.46875","0.46875"
"479232","117","117","117","0.46875","0.46875","0.46875"
"483328","118","118","118","0.46875","0.46875","0.46875"
"487424","119","119","119","0.46875","0.46875","0.46875"
"491520","120","120","120","0.46875","0.46875","0.46875"
"495616","121","121","121","0.46875","0.46875","0.46875"
"499712","122","122","122","0.46875","0.46875","0.46875"
"503808","123","123","123","0.46875","0.46875","0.46875"
"507904","124","124","124","0.46875","0.46875","0.46875"
"512000","125","125","125","0.46875","0.46875","0.46875"
"516096","126","126","126","0.46875","0.46875","0.46875"
"520192","127","127","127","0.46875","0.46875","0.46875"
"524288","128","128","128","0.46875","0.46875","0.46875"
"528384","129","129","129","0.46875","0.46875","0.46875"
"532480","130","130","130","0.46875","0.46875","0.46875"
"536576","131","131","131","0.46875","0.46875","0.46875"
"540672","132","132","132","0.46875","0.46875","0.46875"
"544768","133","133","133","0.46875","0.46875","0.46875"
"548864","134","134","134","0.46875","0.46875","0.46875"
"552960","135","135","135","0.46875","0.46875","0.46875"
"557056","136","136","136","0.46875","0.46875","0.46875"
"561152","137","137","137","0.46875","0.46875","0.46875"
"565248","138","138","138","0.46875","0.46875","0.46875"
"569344","139","139","139","0.46875","0.46875","0.46875"
"573440","140","140","140","0.46875","0.46875","0.46875"
"577536","141","141","141","0.46875","0.46875","0.46875"
"581632","142","142","142","0.46875","0.46875","0.46875"
"585728","143","143","143","0.46875","0.46875","0.46875"
"589824","144","144","144","0.46875","0.46875","0.46875"
"593920","145","145","145","0.46875","0.46875","0.46875"
"598016","146","146","146","0.46875","0.46875","0.46875"
"602112","147","147","147","0.46875","0.46875","0.46875"
"606208","148","148","148","0.46875","0.46875","0.46875"
"610304","149","149","149","0.46875","0.46875","0.46875"
"614400","150","150","150","0.46875","0.46875","0.46875"
"618496","151","151","151","0.46875","0.46875","0.46875"
"622592","152","152","152","0.46875","0.46875","0.46875"
"626688","153","153","153","0.46875","0.46875","0.46875"
"630784","154","154","154","0.46875","0.46875","0.46875"
"634880","155","155","155","0.46875","0.46875","0.46875"
"638976","156","156","156","0.46875","0.46875","0.46875"
"643072","157","157","157","1.048583984375","1.048583984375","1.048583984375"
"647168","158","158","158","1.2109375","1.2109375","1.2109375"
"651264","159","159","159","1.2109375","1.2109375","1.2109375"
"655360","160","160","160","1.2109375","1.2109375","1.2109375"
"659456","161","161","161","1.2109375","1.2109375","1.2109375"
"663552","162","162","162","1.2109375","1.2109375","1.2109375"
"667648","163","163","163","1.2109375","1.2109375","1.2109375"
"671744","164","164","164","1.2109375","1.2109375","1.2109375"
"675840","165","165","165","1.2109375","1.2109375","1.2109375"
"679936","166","166","166","1.2109375","1.2109375","1.2109375"
"684032","167","167","167","1.2109375","1.2109375","1.2109375"
"688128","168","168","168","1.2109375","1.2109375","1.2109375"
"692224","169","169","169","1.2109375","1.2109375","1.2109375"
"696320","170","170","170","1.2109375","1.2109375","1.2109375"
"700416","171","171","171","1.2109375","1.2109375","1.2109375"
"704512","172","172","172","1.2109375","1.2109375","1.2109375"
"708608","173","173","173","1.2109375","1.2109375","1.2109375"
"712704","174","174","174","1.2109375","1.2109375","1.2109375"
"716800","175","175","175","1.2109375","1.2109375","1.2109375"
"720896","176","176","176","1.2109375","1.2109375","1.2109375"
"724992","177","177","177","1.2109375","1.2109375","1.2109375"
"729088","178","178","178","1.2109375","1.2109375","1.2109375"
"733184","179","179","179","1.2109375","1.2109375","1.2109375"
"737280","180","180","180","1.2109375","1.2109375","1.2109375"
"741376","181","181","181","1.2109375","1.2109375","1.2109375"
"745472","182","182","182","1.2109375","1.2109375","1.2109375"
"749568","183","183","183","1.2109375","1.2109375","1.2109375"
"753664","184","184","184","1.2109375","1.2109375","1.2109375"
"757760","185","185","185","1.2109375","1.2109375","1.2109375"
"761856","186","186","186","1.2109375","1.2109375","1.2109375"
"765952","187","187","187","1.2109375","1.2109375","1.2109375"
"770048","188","188","188","1.2109375","1.2109375","1.2109375"
"774144","189","189","189","1.2109375","1.2109375","1.2109375"
"778240","190","190","190","1.2109375","1.2109375","1.2109375"
"782336","191","191","191","1.2109375","1.2109375","1.2109375"
"786432","192","192","192","1.2109375","1.2109375","1.2109375"
"790528","193","193","193","1.2109375","1.2109375","1.2109375"
"794624","194","194","194","1.2109375","1.2109375","1.2109375"
"798720","195","195","195","1.2109375","1.2109375","1.2109375"
"802816","196","196","196","1.2109375","1.2109375","1.2109375"
"806912","197","197","197","1.2109375","1.2109375","1.2109375"
"811008","198","198","198","1.2109375","1.2109375","1.2109375"
"815104","199","199","199","1.2109375","1.2109375","1.2109375"
"819200","200","200","200","1.2109375","1.2109375","1.2109375"
"823296","201","201","201","1.2109375","1.2109375","1.2109375"
"827392","202","202","202","1.2109375","1.2109375","1.2109375"
"831488","203","203","203","1.2109375","1.2109375","1.2109375"
"835584","204","204","204","1.2109375","1.2109375","1.2109375"
"839680","205","205","205","1.2109375","1.2109375","1.2109375"
"843776","206","206","206","1.2109375","1.2109375","1.2109375"
"847872","207","207","207","1.2109375","1.2109375","1.2109375"
"851968","208","208","208","1.2109375","1.2109375","1.2109375"
"856064","209","209","209","1.2109375","1.2109375","1.2109375"
"860160","210","210","210","1.2109375","1.2109375","1.2109375"
"864256","211","211","211","1.2109375","1.2109375","1.2109375"
"868352","212","212","212","1.2109375","1.2109375","1.2109375"
"872448","213","213","213","1.2109375","1.2109375","1.2109375"
"876544","214","214","214","1.2109375","1.2109375","1.2109375"
"880640","215","215","215","1.2109375","1.2109375","1.2109375"
"884736","216","216","216","1.2109375","1.2109375","1.2109375"
"888832","217","217","217","1.2109375","1.2109375","1.2109375"
"892928","218","218","218","1.2109375","1.2109375","1.2109375"
"897024","219","219","219","1.2109375","1.2109375","1.2109375"
"901120","220","220","220","1.2109375","1.2109375","1.2109375"
"905216","221","221","221","1.2109375","1.2109375","1.2109375"
"909312","222","222","222","1.2109375","1.2109375","1.2109375"
"913408","223","223","223","1.2109375","1.2109375","1.2109375"
"917504","224","224","224","1.2109375","1.2109375","1.2109375"
"921600","225","225","225","1.2109375","1.2109375","1.2109375"
"925696","226","226","226","1.2109375","1.2109375","1.2109375"
"929792","227","227","227","1.2109375","1.2109375","1.2109375"
"933888","228","228","228","1.2109375","1.2109375","1.2109375"
"937984","229","229","229","1.2109375","1.2109375","1.2109375"
"942080","230","230","230","1.2109375","1.2109375","1.2109375"
"946176","231","231","231","1.2109375","1.2109375","1.2109375"
"950272","232","232","232","1.2109375","1.2109375","1.2109375"
"954368","233","233","233","1.2109375","1.2109375","1.2109375"
"958464","234","234","234","1.2109375","1.2109375","1.2109375"
"962560","235","235","235","2.36962890625","2.36962890625","2.36962890625"
"966656","236","236","236","2.9765625","2.9765625","2.9765625"
"970752","237","237","237","2.9765625","2.9765625","2.9765625"
"974848","238","238","238","2.9765625","2.9765625","2.9765625"
"978944","239","239","239","2.9765625","2.9765625","2.9765625"
"983040","240","240","240","2.9765625","2.9765625","2.9765625"
"987136","241","241","241","2.9765625","2.9765625","2.9765625"
"991232","242","242","242","2.9765625","2.9765625","2.9765625"
"995328","243","243","243","2.9765625","2.9765625","2.9765625"
"999424","244","244","244","2.9765625","2.9765625","2.9765625"
"1003520","245","245","245","2.9765625","2.9765625","2.9765625"
"1007616","246","246","246","2.9765625","2.9765625","2.9765625"
"1011712","247","247","247","2.9765625","2.9765625","2.9765625"
"1015808","248","248","248","2.9765625","2.9765625","2.9765625"
"1019904","249","249","249","2.9765625","2.9765625","2.9765625"
"1024000","250","250","250","2.9765625","2.9765625","2.9765625"
"1028096","251","251","251","2.9765625","2.9765625","2.9765625"
"1032192","252","252","252","2.9765625","2.9765625","2.9765625"
"1036288","253","253","253","2.9765625","2.9765625","2.9765625"
"1040384","254","254","254","2.9765625","2.9765625","2.9765625"
"1044480","255","255","255","2.9765625","2.9765625","2.9765625"
"1048576","256","256","256","2.9765625","2.9765625","2.9765625"
"1052672","257","257","257","2.9765625","2.9765625","2.9765625"
"1056768","258","258","258","2.9765625","2.9765625","2.9765625"
"1060864","259","259","259","2.9765625","2.9765625","2.9765625"
"1064960","260","260","260","2.9765625","2.9765625","2.9765625"
"1069056","261","261","261","2.9765625","2.9765625","2.9765625"
"1073152","262","262","262","2.9765625","2.9765625","2.9765625"
"1077248","263","263","263","2.9765625","2.9765625","2.9765625"
"1081344","264","264","264","2.9765625","2.9765625","2.9765625"
"1085440","265","265","265","2.9765625","2.9765625","2.9765625"
"1089536","266","266","266","2.9765625","2.9765625","2.9765625"
"1093632","267","267","267","2.9765625","2.9765625","2.9765625"
"1097728","268","268","268","2.9765625","2.9765625","2.9765625"
"1101824","269","269","269","2.9765625","2.9765625","2.9765625"
"1105920","270","270","270","2.9765625","2.9765625","2.9765625"
"1110016","271","271","271","2.9765625","2.9765625","2.9765625"
"1114112","272","272","272","2.9765625","2.9765625","2.9765625"
"1118208","273","273","273","2.9765625","2.9765625","2.9765625"
"1122304","274","274","274","2.9765625","2.9765625","2.9765625"
"1126400","275","275","275","2.9765625","2.9765625","2.9765625"
"1130496","276","276","276","2.9765625","2.9765625","2.9765625"
"1134592","277","277","277","2.9765625","2.9765625","2.9765625"
"1138688","278","278","278","2.9765625","2.9765625","2.9765625"
"1142784","279","279","279","2.9765625","2.9765625","2.9765625"
"1146880","280","280","280","2.9765625","2.9765625","2.9765625"
"1150976","281","281","281","2.9765625","2.9765625","2.9765625"
"1155072","282","282","282","2.9765625","2.9765625","2.9765625"
"1159168","283","283","283","2.9765625","2.9765625","2.9765625"
"1163264","284","284","284","2.9765625","2.9765625","2.9765625"
"1167360","285","285","285","2.9765625","2.9765625","2.9765625"
"1171456","286","286","286","2.9765625","2.9765625","2.9765625"
"1175552","287","287","287","2.9765625","2.9765625","2.9765625"
"1179648","288","288","288","2.9765625","2.9765625","2.9765625"
"1183744","289","289","289","2.9765625","2.9765625","2.9765625"
"1187840","290","290","290","2.9765625","2.9765625","2.9765625"
"1191936","291","291","291","2.9765625","2.9765625","2.9765625"
"1196032","292","292","292","2.9765625","2.9765625","2.9765625"
"1200128","293","293","293","2.9765625","2.9765625","2.9765625"
"1204224","294","294","294","2.9765625","2.9765625","2.9765625"
"1208320","295","295","295","2.9765625","2.9765625","2.9765625"
"1212416","296","296","296","2.9765625","2.9765625","2.9765625"
"1216512","297","297","297","2.9765625","2.9765625","2.9765625"
"1220608","298","298","298","2.9765625","2.9765625","2.9765625"
"1224704","299","299","299","2.9765625","2.9765625","2.9765625"
"1228800","300","300","300","2.9765625","2.9765625","2.9765625"
"1232896","301","301","301","2.9765625","2.9765625","2.9765625"
"1236992","302","302","302","2.9765625","2.9765625","2.9765625"
"1241088","303","303","303","2.9765625","2.9765625","2.9765625"
"1245184","304","304","304","2.9765625","2.9765625","2.9765625"
"1249280","305","305","305","2.9765625","2.9765625","2.9765625"
"1253376","306","306","306","2.9765625","2.9765625","2.9765625"
"1257472","307","307","307","2.9765625","2.9765625","2.9765625"
"1261568","308","308","308","2.9765625","2.9765625","2.9765625"
"1265664","309","309","309","2.9765625","2.9765625","2.9765625"
"1269760","310","310","310","2.9765625","2.9765625","2.9765625"
"1273856","311","311","311","2.9765625","2.9765625","2.9765625"
"1277952","312","312","312","2.9765625","2.9765625","2.9765625"
"1282048","313","313","313","5.379638671875","5.379638671875","5.379638671875"
"1286144","314","314","314","7.5","7.5","7.5"
"1290240","315","315","315","7.5","7.5","7.5"
"1294336","316","316","316","7.5","7.5","7.5"
"1298432","317","317","317","7.5","7.5","7.5"
"1302528","318","318","318","7.5","7.5","7.5"
"1306624","319","319","319","7.5","7.5","7.5"
"1310720","320","320","320","7.5","7.5","7.5"
"1314816","321","321","321","7.5","7.5","7.5"
"1318912","322","322","322","7.5","7.5","7.5"
"1323008","323","323","323","7.5","7.5","7.5"
"1327104","324","324","324","7.5","7.5","7.5"
"1331200","325","325","325","7.5","7.5","7.5"
"1335296","326","326","326","7.5","7.5","7.5"
"1339392","327","327","327","7.5","7.5","7.5"
"1343488","328","328","328","7.5","7.5","7.5"
"1347584","329","329","329","7.5","7.5","7.5"
"1351680","330","330","330","7.5","7.5","7.5"
"1355776","331","331","331","7.5","7.5","7.5"
"1359872","332","332","332","7.5","7.5","7.5"
"1363968","333","333","333","7.5","7.5","7.5"
"1368064","334","334","334","7.5","7.5","7.5"
"1372160","335","335","335","7.5","7.5","7.5"
"1376256","336","336","336","7.5","7.5","7.5"
"1380352","337","337","337","7.5","7.5","7.5"
"1384448","338","338","338","7.5","7.5","7.5"
"1388544","339","339","339","7.5","7.5","7.5"
"1392640","340","340","340","7.5","7.5","7.5"
"1396736","341","341","341","7.5","7.5","7.5"
"1400832","342","342","342","7.5","7.5","7.5"
"1404928","343","343","343","7.5","7.5","7.5"
"1409024","344","344","344","7.5","7.5","7.5"
"1413120","345","345","345","7.5","7.5","7.5"
"1417216","346","346","346","7.5","7.5","7.5"
"1421312","347","347","347","7.5","7.5","7.5"
"1425408","348","348","348","7.5","7.5","7.5"
"1429504","349","349","349","7.5","7.5","7.5"
"1433600","350","350","350","7.5","7.5","7.5"
"1437696","351","351","351","7.5","7.5","7.5"
"1441792","352","352","352","7.5","7.5","7.5"
"1445888","353","353","353","7.5","7.5","7.5"
"1449984","354","354","354","7.5","7.5","7.5"
"1454080","355","355","355","7.5","7.5","7.5"
"1458176","356","356","356","7.5","7.5","7.5"
"1462272","357","357","357","7.5","7.5","7.5"
"1466368","358","358","358","7.5","7.5","7.5"
"1470464","359","359","359","7.5","7.5","7.5"
"1474560","360","360","360","7.5","7.5","7.5"
"1478656","361","361","361","7.5","7.5","7.5"
"1482752","362","362","362","7.5","7.5","7.5"
"1486848","363","363","363","7.5","7.5","7.5"
"1490944","364","364","364","7.5","7.5","7.5"
"1495040","365","365","365","7.5","7.5","7.5"
"1499136","366","366","366","7.5","7.5","7.5"
"1503232","367","367","367","7.5","7.5","7.5"
"1507328","368","368","368","7.5","7.5","7.5"
"1511424","369","369","369","7.5","7.5","7.5"
"1515520","370","370","370","7.5","7.5","7.5"
"1519616","371","371","371","7.5","7.5","7.5"
"1523712","372","372","372","7.5","7.5","7.5"
"1527808","373","373","373","7.5","7.5","7.5"
"1531904","374","374","374","7.5","7.5","7.5"
"1536000","375","375","375","7.5","7.5","7.5"
"1540096","376","376","376","7.5","7.5","7.5"
"1544192","377","377","377","7.5","7.5","7.5"
"1548288","378","378","378","7.5","7.5","7.5"
"1552384","379","379","379","7.5","7.5","7.5"
"1556480","380","380","380","7.5","7.5","7.5"
"1560576","381","381","381","7.5","7.5","7.5"
"1564672","382","382","382","7.5","7.5","7.5"
"1568768","383","383","383","7.5","7.5","7.5"
"1572864","384","384","384","7.5","7.5","7.5"
"1576960","385","385","385","7.5","7.5","7.5"
"1581056","386","386","386","7.5","7.5","7.5"
"1585152","387","387","387","7.5","7.5","7.5"
"1589248","388","388","388","7.5","7.5","7.5"
"1593344","389","389","389","7.5","7.5","7.5"
"1597440","390","390","390","7.5","7.5","7.5"
"1601536","391","391","391","9.7978515625","9.7978515625","9.7978515625"
"1605632","392","392","392","13.15625","13.15625","13.15625"
"1609728","393","393","393","13.15625","13.15625","13.15625"
"1613824","394","394","394","13.15625","13.15625","13.15625"
"1617920","395","395","395","13.15625","13.15625","13.15625"
"1622016","396","396","396","13.15625","13.15625","13.15625"
"1626112","397","397","397","13.15625","13.15625","13.15625"
"1630208","398","398","398","13.15625","13.15625","13.15625"
"1634304","399","399","399","13.15625","13.15625","13.15625"
"1638400","400","400","400","13.15625","13.15625","13.15625"
"1642496","401","401","401","13.15625","13.15625","13.15625"
"1646592","402","402","402","13.15625","13.15625","13.15625"
"1650688","403","403","403","13.15625","13.15625","13.15625"
"1654784","404","404","404","13.15625","13.15625","13.15625"
"1658880","405","405","405","13.15625","13.15625","13.15625"
"1662976","406","406","406","13.15625","13.15625","13.15625"
"1667072","407","407","407","13.15625","13.15625","13.15625"
"1671168","408","408","408","13.15625","13.15625","13.15625"
"1675264","409","409","409","13.15625","13.15625","13.15625"
"1679360","410","410","410","13.15625","13.15625","13.15625"
"1683456","411","411","411","13.15625","13.15625","13.15625"
"1687552","412","412","412","13.15625","13.15625","13.15625"
"1691648","413","413","413","13.15625","13.15625","13.15625"
"1695744","414","414","414","13.15625","13.15625","13.15625"
"1699840","415","415","415","13.15625","13.15625","13.15625"
"1703936","416","416","416","13.15625","13.15625","13.15625"
"1708032","417","417","417","13.15625","13.15625","13.15625"
"1712128","418","418","418","13.15625","13.15625","13.15625"
"1716224","419","419","419","13.15625","13.15625","13.15625"
"1720320","420","420","420","13.15625","13.15625","13.15625"
"1724416","421","421","421","13.15625","13.15625","13.15625"
"1728512","422","422","422","13.15625","13.15625","13.15625"
"1732608","423","423","423","13.15625","13.15625","13.15625"
"1736704","424","424","424","13.15625","13.15625","13.15625"
"1740800","425","425","425","13.15625","13.15625","13.15625"
"1744896","426","426","426","13.15625","13.15625","13.15625"
"1748992","427","427","427","13.15625","13.15625","13.15625"
"1753088","428","428","428","13.15625","13.15625","13.15625"
"1757184","429","429","429","13.15625","13.15625","13.15625"
"1761280","430","430","430","13.15625","13.15625","13.15625"
"1765376","431","431","431","13.15625","13.15625","13.15625"
"1769472","432","432","432","13.15625","13.15625","13.15625"
"1773568","433","433","433","13.15625","13.15625","13.15625"
"1777664","434","434","434","13.15625","13.15625","13.15625"
"1781760","435","435","435","13.15625","13.15625","13.15625"
"1785856","436","436","436","13.15625","13.15625","13.15625"
"1789952","437","437","437","13.15625","13.15625","13.15625"
"1794048","438","438","438","13.15625","13.15625","13.15625"
"1798144","439","439","439","13.15625","13.15625","13.15625"
"1802240","440","440","440","13.15625","13.15625","13.15625"
"1806336","441","441","441","13.15625","13.15625","13.15625"
"1810432","442","442","442","13.15625","13.15625","13.15625"
"1814528","443","443","443","13.15625","13.15625","13.15625"
"1818624","444","444","444","13.15625","13.15625","13.15625"
"1822720","445","445","445","13.15625","13.15625","13.15625"
"1826816","446","446","446","13.15625","13.15625","13.15625"
"1830912","447","447","447","13.15625","13.15625","13.15625"
"1835008","448","448","448","13.15625","13.15625","13.15625"
"1839104","449","449","449","13.15625","13.15625","13.15625"
"1843200","450","450","450","13.15625","13.15625","13.15625"
"1847296","451","451","451","13.15625","13.15625","13.15625"
"1851392","452","452","452","13.15625","13.15625","13.15625"
"1855488","453","453","453","13.15625","13.15625","13.15625"
"1859584","454","454","454","13.15625","13.15625","13.15625"
"1863680","455","455","455","13.15625","13.15625","13.15625"
"1867776","456","456","456","13.15625","13.15625","13.15625"
"1871872","457","457","457","13.15625","13.15625","13.15625"
"1875968","458","458","458","13.15625","13.15625","13.15625"
"1880064","459","459","459","13.15625","13.15625","13.15625"
"1884160","460","460","460","13.15625","13.15625","13.15625"
"1888256","461","461","461","13.15625","13.15625","13.15625"
"1892352","462","462","462","13.15625","13.15625","13.15625"
"1896448","463","463","463","13.15625","13.15625","13.15625"
"1900544","464","464","464","13.15625","13.15625","13.15625"
"1904640","465","465","465","13.15625","13.15625","13.15625"
"1908736","466","466","466","13.15625","13.15625","13.15625"
"1912832","467","467","467","13.15625","13.15625","13.15625"
"1916928","468","468","468","13.15625","13.15625","13.15625"
"1921024","469","469","469","17.566162109375","17.566162109375","17.566162109375"
"1925120","470","470","470","28.8359375","28.8359375","28.8359375"
"1929216","471","471","471","28.8359375","28.8359375","28.8359375"
"1933312","472","472","472","28.8359375","28.8359375","28.8359375"
"1937408","473","473","473","28.8359375","28.8359375","28.8359375"
"1941504","474","474","474","28.8359375","28.8359375","28.8359375"
"1945600","475","475","475","28.8359375","28.8359375","28.8359375"
"1949696","476","476","476","28.8359375","28.8359375","28.8359375"
"1953792","477","477","477","28.8359375","28.8359375","28.8359375"
"1957888","478","478","478","28.8359375","28.8359375","28.8359375"
"1961984","479","479","479","28.8359375","28.8359375","28.8359375"
"1966080","480","480","480","28.8359375","28.8359375","28.8359375"
"1970176","481","481","481","28.8359375","28.8359375","28.8359375"
"1974272","482","482","482","28.8359375","28.8359375","28.8359375"
"1978368","483","483","483","28.8359375","28.8359375","28.8359375"
"1982464","484","484","484","28.8359375","28.8359375","28.8359375"
"1986560","485","485","485","28.8359375","28.8359375","28.8359375"
"1990656","486","486","486","28.8359375","28.8359375","28.8359375"
"1994752","487","487","487","28.8359375","28.8359375","28.8359375"
"1998848","488","488","488","28.8359375","28.8359375","28.8359375"
"2002944","489","489","489","28.8359375","28.8359375","28.8359375"
"2007040","490","490","490","28.8359375","28.8359375","28.8359375"
"2011136","491","491","491","28.8359375","28.8359375","28.8359375"
"2015232","492","492","492","28.8359375","28.8359375","28.8359375"
"2019328","493","493","493","28.8359375","28.8359375","28.8359375"
"2023424","494","494","494","28.8359375","28.8359375","28.8359375"
"2027520","495","495","495","28.8359375","28.8359375","28.8359375"
"2031616","496","496","496","28.8359375","28.8359375","28.8359375"
"2035712","497","497","497","28.8359375","28.8359375","28.8359375"
"2039808","498","498","498","28.8359375","28.8359375","28.8359375"
"2043904","499","499","499","28.8359375","28.8359375","28.8359375"
"2048000","500","500","500","28.8359375","28.8359375","28.8359375"
"2052096","501","501","501","28.8359375","28.8359375","28.8359375"
"2056192","502","502","502","28.8359375","28.8359375","28.8359375"
"2060288","503","503","503","28.8359375","28.8359375","28.8359375"
"2064384","504","504","504","28.8359375","28.8359375","28.8359375"
"2068480","505","505","505","28.8359375","28.8359375","28.8359375"
"2072576","506","506","506","28.8359375","28.8359375","28.8359375"
"2076672","507","507","507","28.8359375","28.8359375","28.8359375"
"2080768","508","508","508","28.8359375","28.8359375","28.8359375"
"2084864","509","509","509","28.8359375","28.8359375","28.8359375"
"2088960","510","510","510","28.8359375","28.8359375","28.8359375"
"2093056","511","511","511","28.8359375","28.8359375","28.8359375"
"2097152","512","512","512","28.8359375","28.8359375","28.8359375"
"2101248","513","513","513","28.8359375","28.8359375","28.8359375"
"2105344","514","514","514","28.8359375","28.8359375","28.8359375"
"2109440","515","515","515","28.8359375","28.8359375","28.8359375"
"2113536","516","516","516","28.8359375","28.8359375","28.8359375"
"2117632","517","517","517","28.8359375","28.8359375","28.8359375"
"2121728","518","518","518","28.8359375","28.8359375","28.8359375"
"2125824","519","519","519","28.8359375","28.8359375","28.8359375"
"2129920","520","520","520","28.8359375","28.8359375","28.8359375"
