"env_step","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.759033203125","1.759033203125","1.759033203125"
"12288","3","3","3","2.934814453125","2.934814453125","2.934814453125"
"16384","4","4","4","3.616455078125","3.616455078125","3.616455078125"
"20480","5","5","5","4.17919921875","4.17919921875","4.17919921875"
"24576","6","6","6","4.52880859375","4.52880859375","4.52880859375"
"28672","7","7","7","4.163330078125","4.163330078125","4.163330078125"
"32768","8","8","8","3.929931640625","3.929931640625","3.929931640625"
"36864","9","9","9","3.730224609375","3.730224609375","3.730224609375"
"40960","10","10","10","3.5654296875","3.5654296875","3.5654296875"
"45056","11","11","11","3.62451171875","3.62451171875","3.62451171875"
"49152","12","12","12","3.784423828125","3.784423828125","3.784423828125"
"53248","13","13","13","4.20458984375","4.20458984375","4.20458984375"
"57344","14","14","14","4.040283203125","4.040283203125","4.040283203125"
"61440","15","15","15","4.31103515625","4.31103515625","4.31103515625"
"65536","16","16","16","4.25146484375","4.25146484375","4.25146484375"
"69632","17","17","17","4.325439453125","4.325439453125","4.325439453125"
"73728","18","18","18","4.3173828125","4.3173828125","4.3173828125"
"77824","19","19","19","4.57763671875","4.57763671875","4.57763671875"
"81920","20","20","20","4.60595703125","4.60595703125","4.60595703125"
"86016","21","21","21","4.443603515625","4.443603515625","4.443603515625"
"90112","22","22","22","4.472412109375","4.472412109375","4.472412109375"
"94208","23","23","23","4.64453125","4.64453125","4.64453125"
"98304","24","24","24","4.673095703125","4.673095703125","4.673095703125"
"102400","25","25","25","4.79150390625","4.79150390625","4.79150390625"
"106496","26","26","26","4.389404296875","4.389404296875","4.389404296875"
"110592","27","27","27","4.05712890625","4.05712890625","4.05712890625"
"114688","28","28","28","3.798095703125","3.798095703125","3.798095703125"
"118784","29","29","29","3.849853515625","3.849853515625","3.849853515625"
"122880","30","30","30","4.06201171875","4.06201171875","4.06201171875"
"126976","31","31","31","4.09716796875","4.09716796875","4.09716796875"
"131072","32","32","32","4.150390625","4.150390625","4.150390625"
"135168","33","33","33","4.40625","4.40625","4.40625"
"139264","34","34","34","4.03173828125","4.03173828125","4.03173828125"
"143360","35","35","35","3.964111328125","3.964111328125","3.964111328125"
"147456","36","36","36","4.446533203125","4.446533203125","4.446533203125"
"151552","37","37","37","4.42041015625","4.42041015625","4.42041015625"
"155648","38","38","38","4.2333984375","4.2333984375","4.2333984375"
"159744","39","39","39","4.345947265625","4.345947265625","4.345947265625"
"163840","40","40","40","4.50048828125","4.50048828125","4.50048828125"
"167936","41","41","41","4.388671875","4.388671875","4.388671875"
"172032","42","42","42","4.328369140625","4.328369140625","4.328369140625"
"176128","43","43","43","4.63427734375","4.63427734375","4.63427734375"
"180224","44","44","44","4.35595703125","4.35595703125","4.35595703125"
"184320","45","45","45","4.39013671875","4.39013671875","4.39013671875"
"188416","46","46","46","4.61474609375","4.61474609375","4.61474609375"
"192512","47","47","47","4.543212890625","4.543212890625","4.543212890625"
"196608","48","48","48","4.48095703125","4.48095703125","4.48095703125"
"200704","49","49","49","4.435791015625","4.435791015625","4.435791015625"
"204800","50","50","50","4.5859375","4.5859375","4.5859375"
"208896","51","51","51","4.590576171875","4.590576171875","4.590576171875"
"212992","52","52","52","4.889404296875","4.889404296875","4.889404296875"
"217088","53","53","53","4.312255859375","4.312255859375","4.312255859375"
"221184","54","54","54","4.313232421875","4.313232421875","4.313232421875"
"225280","55","55","55","4.656005859375","4.656005859375","4.656005859375"
"229376","56","56","56","4.84326171875","4.84326171875","4.84326171875"
"233472","57","57","57","4.978759765625","4.978759765625","4.978759765625"
"237568","58","58","58","5.123779296875","5.123779296875","5.123779296875"
"241664","59","59","59","5.131103515625","5.131103515625","5.131103515625"
"245760","60","60","60","4.937255859375","4.937255859375","4.937255859375"
"249856","61","61","61","4.8076171875","4.8076171875","4.8076171875"
"253952","62","62","62","5.079833984375","5.079833984375","5.079833984375"
"258048","63","63","63","4.849853515625","4.849853515625","4.849853515625"
"262144","64","64","64","5.276123046875","5.276123046875","5.276123046875"
"266240","65","65","65","5.37060546875","5.37060546875","5.37060546875"
"270336","66","66","66","4.4833984375","4.4833984375","4.4833984375"
"274432","67","67","67","4.629638671875","4.629638671875","4.629638671875"
"278528","68","68","68","5.126953125","5.126953125","5.126953125"
"282624","69","69","69","5.19287109375","5.19287109375","5.19287109375"
"286720","70","70","70","5.049560546875","5.049560546875","5.049560546875"
"290816","71","71","71","5.185546875","5.185546875","5.185546875"
"294912","72","72","72","5.415283203125","5.415283203125","5.415283203125"
"299008","73","73","73","5.41357421875","5.41357421875","5.41357421875"
"303104","74","74","74","5.195068359375","5.195068359375","5.195068359375"
"307200","75","75","75","5.275146484375","5.275146484375","5.275146484375"
"311296","76","76","76","5.19921875","5.19921875","5.19921875"
"315392","77","77","77","5.30322265625","5.30322265625","5.30322265625"
"319488","78","78","78","5.327392578125","5.327392578125","5.327392578125"
"323584","79","79","79","5.767333984375","5.767333984375","5.767333984375"
"327680","80","80","80","5.888671875","5.888671875","5.888671875"
"331776","81","81","81","5.612548828125","5.612548828125","5.612548828125"
"335872","82","82","82","5.523681640625","5.523681640625","5.523681640625"
"339968","83","83","83","5.309326171875","5.309326171875","5.309326171875"
"344064","84","84","84","5.220947265625","5.220947265625","5.220947265625"
"348160","85","85","85","5.300537109375","5.300537109375","5.300537109375"
"352256","86","86","86","5.871337890625","5.871337890625","5.871337890625"
"356352","87","87","87","5.668701171875","5.668701171875","5.668701171875"
"360448","88","88","88","5.79150390625","5.79150390625","5.79150390625"
"364544","89","89","89","5.774658203125","5.774658203125","5.774658203125"
