"env_step","pqn_SpaceInvaders-MinAtar - _step","pqn_SpaceInvaders-MinAtar - _step__MIN","pqn_SpaceInvaders-MinAtar - _step__MAX","pqn_SpaceInvaders-MinAtar - returned_episode_returns","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.752685546875","1.752685546875","1.752685546875"
"12288","3","3","3","2.8896484375","2.8896484375","2.8896484375"
"16384","4","4","4","3.52880859375","3.52880859375","3.52880859375"
"20480","5","5","5","4.195068359375","4.195068359375","4.195068359375"
"24576","6","6","6","4.6875","4.6875","4.6875"
"28672","7","7","7","4.6064453125","4.6064453125","4.6064453125"
"32768","8","8","8","4.203125","4.203125","4.203125"
"36864","9","9","9","4.12744140625","4.12744140625","4.12744140625"
"40960","10","10","10","3.835693359375","3.835693359375","3.835693359375"
"45056","11","11","11","4.013671875","4.013671875","4.013671875"
"49152","12","12","12","4.178955078125","4.178955078125","4.178955078125"
"53248","13","13","13","4.365234375","4.365234375","4.365234375"
"57344","14","14","14","3.947998046875","3.947998046875","3.947998046875"
"61440","15","15","15","4.168701171875","4.168701171875","4.168701171875"
"65536","16","16","16","4.2568359375","4.2568359375","4.2568359375"
"69632","17","17","17","4.1845703125","4.1845703125","4.1845703125"
"73728","18","18","18","3.966552734375","3.966552734375","3.966552734375"
"77824","19","19","19","4.213623046875","4.213623046875","4.213623046875"
"81920","20","20","20","4.420654296875","4.420654296875","4.420654296875"
"86016","21","21","21","4.313720703125","4.313720703125","4.313720703125"
"90112","22","22","22","4.08642578125","4.08642578125","4.08642578125"
"94208","23","23","23","4.45166015625","4.45166015625","4.45166015625"
"98304","24","24","24","4.137939453125","4.137939453125","4.137939453125"
"102400","25","25","25","4.246826171875","4.246826171875","4.246826171875"
"106496","26","26","26","4.208984375","4.208984375","4.208984375"
"110592","27","27","27","4.1240234375","4.1240234375","4.1240234375"
"114688","28","28","28","3.894775390625","3.894775390625","3.894775390625"
"118784","29","29","29","4.41259765625","4.41259765625","4.41259765625"
"122880","30","30","30","4.36962890625","4.36962890625","4.36962890625"
"126976","31","31","31","4.392333984375","4.392333984375","4.392333984375"
"131072","32","32","32","4.155029296875","4.155029296875","4.155029296875"
"135168","33","33","33","4.49365234375","4.49365234375","4.49365234375"
"139264","34","34","34","4.333251953125","4.333251953125","4.333251953125"
"143360","35","35","35","4.403564453125","4.403564453125","4.403564453125"
"147456","36","36","36","4.384521484375","4.384521484375","4.384521484375"
"151552","37","37","37","4.679443359375","4.679443359375","4.679443359375"
"155648","38","38","38","4.985595703125","4.985595703125","4.985595703125"
"159744","39","39","39","5.260009765625","5.260009765625","5.260009765625"
"163840","40","40","40","5.656005859375","5.656005859375","5.656005859375"
"167936","41","41","41","5.460205078125","5.460205078125","5.460205078125"
"172032","42","42","42","5.100830078125","5.100830078125","5.100830078125"
"176128","43","43","43","4.93896484375","4.93896484375","4.93896484375"
"180224","44","44","44","4.598876953125","4.598876953125","4.598876953125"
"184320","45","45","45","4.556640625","4.556640625","4.556640625"
"188416","46","46","46","4.60400390625","4.60400390625","4.60400390625"
"192512","47","47","47","4.9716796875","4.9716796875","4.9716796875"
"196608","48","48","48","4.94384765625","4.94384765625","4.94384765625"
"200704","49","49","49","5.190185546875","5.190185546875","5.190185546875"
"204800","50","50","50","4.981689453125","4.981689453125","4.981689453125"
"208896","51","51","51","4.813232421875","4.813232421875","4.813232421875"
"212992","52","52","52","4.726806640625","4.726806640625","4.726806640625"
"217088","53","53","53","5.221923828125","5.221923828125","5.221923828125"
"221184","54","54","54","4.829833984375","4.829833984375","4.829833984375"
"225280","55","55","55","4.748046875","4.748046875","4.748046875"
"229376","56","56","56","4.81201171875","4.81201171875","4.81201171875"
"233472","57","57","57","5.187744140625","5.187744140625","5.187744140625"
"237568","58","58","58","5.576416015625","5.576416015625","5.576416015625"
"241664","59","59","59","6.079833984375","6.079833984375","6.079833984375"
"245760","60","60","60","5.846923828125","5.846923828125","5.846923828125"
"249856","61","61","61","5.344482421875","5.344482421875","5.344482421875"
"253952","62","62","62","5.2646484375","5.2646484375","5.2646484375"
"258048","63","63","63","5.36767578125","5.36767578125","5.36767578125"
"262144","64","64","64","5.909912109375","5.909912109375","5.909912109375"
"266240","65","65","65","5.583984375","5.583984375","5.583984375"
"270336","66","66","66","5.425048828125","5.425048828125","5.425048828125"
"274432","67","67","67","5.254638671875","5.254638671875","5.254638671875"
"278528","68","68","68","5.34765625","5.34765625","5.34765625"
"282624","69","69","69","5.558837890625","5.558837890625","5.558837890625"
"286720","70","70","70","5.78173828125","5.78173828125","5.78173828125"
"290816","71","71","71","5.654052734375","5.654052734375","5.654052734375"
"294912","72","72","72","5.44140625","5.44140625","5.44140625"
"299008","73","73","73","5.29345703125","5.29345703125","5.29345703125"
"303104","74","74","74","5.50390625","5.50390625","5.50390625"
"307200","75","75","75","5.801025390625","5.801025390625","5.801025390625"
"311296","76","76","76","6.257080078125","6.257080078125","6.257080078125"
"315392","77","77","77","6.22412109375","6.22412109375","6.22412109375"
"319488","78","78","78","6.270263671875","6.270263671875","6.270263671875"
"323584","79","79","79","6.369140625","6.369140625","6.369140625"
"327680","80","80","80","6.57763671875","6.57763671875","6.57763671875"
"331776","81","81","81","6.5478515625","6.5478515625","6.5478515625"
"335872","82","82","82","6.241943359375","6.241943359375","6.241943359375"
"339968","83","83","83","6.200927734375","6.200927734375","6.200927734375"
"344064","84","84","84","5.994140625","5.994140625","5.994140625"
"348160","85","85","85","6.282470703125","6.282470703125","6.282470703125"
"352256","86","86","86","6.39599609375","6.39599609375","6.39599609375"
"356352","87","87","87","7.07861328125","7.07861328125","7.07861328125"
"360448","88","88","88","6.764404296875","6.764404296875","6.764404296875"
"364544","89","89","89","6.6298828125","6.6298828125","6.6298828125"
"368640","90","90","90","6.825439453125","6.825439453125","6.825439453125"
"372736","91","91","91","6.841064453125","6.841064453125","6.841064453125"
"376832","92","92","92","6.100341796875","6.100341796875","6.100341796875"
"380928","93","93","93","6.27490234375","6.27490234375","6.27490234375"
"385024","94","94","94","6.2548828125","6.2548828125","6.2548828125"
"389120","95","95","95","6.628173828125","6.628173828125","6.628173828125"
"393216","96","96","96","6.943359375","6.943359375","6.943359375"
"397312","97","97","97","6.9560546875","6.9560546875","6.9560546875"
"401408","98","98","98","7.31982421875","7.31982421875","7.31982421875"
"405504","99","99","99","7.4931640625","7.4931640625","7.4931640625"
"409600","100","100","100","7.494873046875","7.494873046875","7.494873046875"
"413696","101","101","101","7.272216796875","7.272216796875","7.272216796875"
"417792","102","102","102","7.60498046875","7.60498046875","7.60498046875"
"421888","103","103","103","7.66552734375","7.66552734375","7.66552734375"
"425984","104","104","104","7.537353515625","7.537353515625","7.537353515625"
"430080","105","105","105","7.9697265625","7.9697265625","7.9697265625"
"434176","106","106","106","7.8173828125","7.8173828125","7.8173828125"
"438272","107","107","107","7.74072265625","7.74072265625","7.74072265625"
"442368","108","108","108","7.544189453125","7.544189453125","7.544189453125"
"446464","109","109","109","7.306884765625","7.306884765625","7.306884765625"
"450560","110","110","110","7.087890625","7.087890625","7.087890625"
"454656","111","111","111","7.139892578125","7.139892578125","7.139892578125"
"458752","112","112","112","7.272216796875","7.272216796875","7.272216796875"
"462848","113","113","113","7.540771484375","7.540771484375","7.540771484375"
"466944","114","114","114","7.61376953125","7.61376953125","7.61376953125"
"471040","115","115","115","8.14990234375","8.14990234375","8.14990234375"
"475136","116","116","116","8.3701171875","8.3701171875","8.3701171875"
"479232","117","117","117","8.244384765625","8.244384765625","8.244384765625"
"483328","118","118","118","7.81494140625","7.81494140625","7.81494140625"
"487424","119","119","119","8.0224609375","8.0224609375","8.0224609375"
"491520","120","120","120","8.236572265625","8.236572265625","8.236572265625"
"495616","121","121","121","8.253173828125","8.253173828125","8.253173828125"
"499712","122","122","122","8.665283203125","8.665283203125","8.665283203125"
"503808","123","123","123","8.54052734375","8.54052734375","8.54052734375"
"507904","124","124","124","7.873779296875","7.873779296875","7.873779296875"
"512000","125","125","125","7.672119140625","7.672119140625","7.672119140625"
"516096","126","126","126","7.33349609375","7.33349609375","7.33349609375"
"520192","127","127","127","7.6064453125","7.6064453125","7.6064453125"
"524288","128","128","128","8.058349609375","8.058349609375","8.058349609375"
"528384","129","129","129","8.264892578125","8.264892578125","8.264892578125"
"532480","130","130","130","8.6142578125","8.6142578125","8.6142578125"
"536576","131","131","131","8.677001953125","8.677001953125","8.677001953125"
"540672","132","132","132","8.29052734375","8.29052734375","8.29052734375"
