"env_step","pqn_Asterix-MinAtar - _step","pqn_Asterix-MinAtar - _step__MIN","pqn_Asterix-MinAtar - _step__MAX","pqn_Asterix-MinAtar - returned_episode_returns","pqn_Asterix-MinAtar - returned_episode_returns__MIN","pqn_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.157470703125","0.157470703125","0.157470703125"
"16384","4","4","4","0.35693359375","0.35693359375","0.35693359375"
"20480","5","5","5","0.40283203125","0.40283203125","0.40283203125"
"24576","6","6","6","0.5341796875","0.5341796875","0.5341796875"
"28672","7","7","7","0.544677734375","0.544677734375","0.544677734375"
"32768","8","8","8","0.554931640625","0.554931640625","0.554931640625"
"36864","9","9","9","0.599365234375","0.599365234375","0.599365234375"
"40960","10","10","10","0.6494140625","0.6494140625","0.6494140625"
"45056","11","11","11","0.650390625","0.650390625","0.650390625"
"49152","12","12","12","0.537109375","0.537109375","0.537109375"
"53248","13","13","13","0.443603515625","0.443603515625","0.443603515625"
"57344","14","14","14","0.48388671875","0.48388671875","0.48388671875"
"61440","15","15","15","0.5166015625","0.5166015625","0.5166015625"
"65536","16","16","16","0.526123046875","0.526123046875","0.526123046875"
"69632","17","17","17","0.53759765625","0.53759765625","0.53759765625"
"73728","18","18","18","0.460693359375","0.460693359375","0.460693359375"
"77824","19","19","19","0.414794921875","0.414794921875","0.414794921875"
"81920","20","20","20","0.566650390625","0.566650390625","0.566650390625"
"86016","21","21","21","0.57470703125","0.57470703125","0.57470703125"
"90112","22","22","22","0.44970703125","0.44970703125","0.44970703125"
"94208","23","23","23","0.472900390625","0.472900390625","0.472900390625"
"98304","24","24","24","0.48583984375","0.48583984375","0.48583984375"
"102400","25","25","25","0.580078125","0.580078125","0.580078125"
"106496","26","26","26","0.64599609375","0.64599609375","0.64599609375"
"110592","27","27","27","0.51416015625","0.51416015625","0.51416015625"
"114688","28","28","28","0.462158203125","0.462158203125","0.462158203125"
"118784","29","29","29","0.53515625","0.53515625","0.53515625"
"122880","30","30","30","0.557861328125","0.557861328125","0.557861328125"
"126976","31","31","31","0.599609375","0.599609375","0.599609375"
"131072","32","32","32","0.609375","0.609375","0.609375"
"135168","33","33","33","0.64892578125","0.64892578125","0.64892578125"
"139264","34","34","34","0.633544921875","0.633544921875","0.633544921875"
"143360","35","35","35","0.450927734375","0.450927734375","0.450927734375"
"147456","36","36","36","0.40869140625","0.40869140625","0.40869140625"
"151552","37","37","37","0.42724609375","0.42724609375","0.42724609375"
"155648","38","38","38","0.4208984375","0.4208984375","0.4208984375"
"159744","39","39","39","0.436279296875","0.436279296875","0.436279296875"
"163840","40","40","40","0.55810546875","0.55810546875","0.55810546875"
"167936","41","41","41","0.59912109375","0.59912109375","0.59912109375"
"172032","42","42","42","0.5224609375","0.5224609375","0.5224609375"
"176128","43","43","43","0.515869140625","0.515869140625","0.515869140625"
"180224","44","44","44","0.570068359375","0.570068359375","0.570068359375"
"184320","45","45","45","0.54443359375","0.54443359375","0.54443359375"
"188416","46","46","46","0.546875","0.546875","0.546875"
"192512","47","47","47","0.5439453125","0.5439453125","0.5439453125"
"196608","48","48","48","0.4853515625","0.4853515625","0.4853515625"
"200704","49","49","49","0.43408203125","0.43408203125","0.43408203125"
"204800","50","50","50","0.451416015625","0.451416015625","0.451416015625"
"208896","51","51","51","0.499755859375","0.499755859375","0.499755859375"
"212992","52","52","52","0.445068359375","0.445068359375","0.445068359375"
"217088","53","53","53","0.4365234375","0.4365234375","0.4365234375"
"221184","54","54","54","0.4560546875","0.4560546875","0.4560546875"
"225280","55","55","55","0.537353515625","0.537353515625","0.537353515625"
"229376","56","56","56","0.50830078125","0.50830078125","0.50830078125"
"233472","57","57","57","0.4169921875","0.4169921875","0.4169921875"
"237568","58","58","58","0.38330078125","0.38330078125","0.38330078125"
"241664","59","59","59","0.385009765625","0.385009765625","0.385009765625"
"245760","60","60","60","0.338623046875","0.338623046875","0.338623046875"
"249856","61","61","61","0.332275390625","0.332275390625","0.332275390625"
"253952","62","62","62","0.318115234375","0.318115234375","0.318115234375"
"258048","63","63","63","0.4248046875","0.4248046875","0.4248046875"
"262144","64","64","64","0.5068359375","0.5068359375","0.5068359375"
"266240","65","65","65","0.53759765625","0.53759765625","0.53759765625"
"270336","66","66","66","0.515380859375","0.515380859375","0.515380859375"
"274432","67","67","67","0.526611328125","0.526611328125","0.526611328125"
"278528","68","68","68","0.423828125","0.423828125","0.423828125"
"282624","69","69","69","0.46337890625","0.46337890625","0.46337890625"
"286720","70","70","70","0.5810546875","0.5810546875","0.5810546875"
"290816","71","71","71","0.543701171875","0.543701171875","0.543701171875"
"294912","72","72","72","0.514892578125","0.514892578125","0.514892578125"
"299008","73","73","73","0.47509765625","0.47509765625","0.47509765625"
"303104","74","74","74","0.438232421875","0.438232421875","0.438232421875"
"307200","75","75","75","0.587646484375","0.587646484375","0.587646484375"
"311296","76","76","76","0.5634765625","0.5634765625","0.5634765625"
"315392","77","77","77","0.583251953125","0.583251953125","0.583251953125"
"319488","78","78","78","0.53955078125","0.53955078125","0.53955078125"
"323584","79","79","79","0.4970703125","0.4970703125","0.4970703125"
"327680","80","80","80","0.4287109375","0.4287109375","0.4287109375"
"331776","81","81","81","0.57958984375","0.57958984375","0.57958984375"
"335872","82","82","82","0.69140625","0.69140625","0.69140625"
"339968","83","83","83","0.730224609375","0.730224609375","0.730224609375"
"344064","84","84","84","0.764404296875","0.764404296875","0.764404296875"
"348160","85","85","85","0.718505859375","0.718505859375","0.718505859375"
"352256","86","86","86","0.697265625","0.697265625","0.697265625"
"356352","87","87","87","0.608642578125","0.608642578125","0.608642578125"
"360448","88","88","88","0.671875","0.671875","0.671875"
"364544","89","89","89","0.5966796875","0.5966796875","0.5966796875"
"368640","90","90","90","0.539794921875","0.539794921875","0.539794921875"
