env_step,pqn_Breakout-MinAtar - test_returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.0
327680,0.0
331776,0.0
335872,0.0
339968,0.0
344064,0.0
348160,0.0
352256,0.0
356352,0.0
360448,0.0
364544,0.0
368640,0.0
372736,0.0
376832,0.0
380928,0.0
385024,0.0
389120,0.0
393216,0.0
397312,0.0
401408,0.0
405504,0.0
409600,0.0
413696,0.0
417792,0.0
421888,0.0
425984,0.0
430080,0.0
434176,0.0
438272,0.0
442368,0.0
446464,0.0
450560,0.0
454656,0.0
458752,0.0
462848,0.0
466944,0.0
471040,0.0
475136,0.0
479232,0.0
483328,0.0
487424,0.0
491520,0.0
495616,0.0
499712,0.0
503808,0.0
507904,0.0
512000,0.0
516096,0.0
520192,0.0
524288,0.0
528384,0.0
532480,0.0
536576,0.0
540672,0.0
544768,0.0
548864,0.0
552960,0.0
557056,0.0
561152,0.0
565248,0.0
569344,0.0
573440,0.0
577536,0.0
581632,0.0
585728,0.0
589824,0.0
593920,0.0
598016,0.0
602112,0.0
606208,0.0
610304,0.0
614400,0.0
618496,0.0
622592,0.0
626688,0.0
630784,0.0
634880,0.0
638976,0.0
643072,0.0
647168,0.0
651264,0.0
655360,0.0
659456,0.0
663552,0.0
667648,0.0
671744,0.0
675840,0.0
679936,0.0
684032,0.0
688128,0.0
692224,0.0
696320,0.0
700416,0.0
704512,0.0
708608,0.0
712704,0.0
716800,0.0
720896,0.0
724992,0.0
729088,0.0
733184,0.0
737280,0.0
741376,0.0
745472,0.0
749568,0.0
753664,0.0
757760,0.0
761856,0.0
765952,0.0
770048,0.0
774144,0.0
778240,0.0
782336,0.0
786432,0.0
790528,0.0
794624,0.0
798720,0.0
802816,0.0
806912,0.0
811008,0.0
815104,0.0
819200,0.0
823296,0.0
827392,0.0
831488,0.0
835584,0.0
839680,0.0
843776,0.0
847872,0.0
851968,0.0
856064,0.0
860160,0.0
864256,0.0
868352,0.0
872448,0.0
876544,0.0
880640,0.0
884736,0.0
888832,0.0
892928,0.0
897024,0.0
901120,0.0
905216,0.0
909312,0.0
913408,0.0
917504,0.0
921600,0.0
925696,0.0
929792,0.0
933888,0.0
937984,0.0
942080,0.0
946176,0.0
950272,0.0
954368,0.0
958464,0.0
962560,0.0
966656,0.0
970752,0.0
974848,0.0
978944,0.0
983040,0.0
987136,0.0
991232,0.0
995328,0.0
999424,8.454179763793945
1003520,8.454179763793945
1007616,8.454179763793945
1011712,8.454179763793945
1015808,8.454179763793945
1019904,8.454179763793945
