"env_step","Freeway-MinAtar_Transfer_From_Breakout-MinAtar - _step","Freeway-MinAtar_Transfer_From_Breakout-MinAtar - _step__MIN","Freeway-MinAtar_Transfer_From_Breakout-MinAtar - _step__MAX","Freeway-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns","Freeway-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MIN","Freeway-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MAX"
"200704","49","49","49","0","0","0"
"204800","50","50","50","0","0","0"
"208896","51","51","51","0","0","0"
"212992","52","52","52","0","0","0"
"217088","53","53","53","0","0","0"
"221184","54","54","54","0","0","0"
"225280","55","55","55","0","0","0"
"229376","56","56","56","0","0","0"
"233472","57","57","57","0","0","0"
"237568","58","58","58","0","0","0"
"241664","59","59","59","0","0","0"
"245760","60","60","60","0","0","0"
"249856","61","61","61","0","0","0"
"253952","62","62","62","0","0","0"
"258048","63","63","63","0","0","0"
"262144","64","64","64","0","0","0"
"266240","65","65","65","0","0","0"
"270336","66","66","66","0","0","0"
"274432","67","67","67","0","0","0"
"278528","68","68","68","0","0","0"
"282624","69","69","69","0","0","0"
"286720","70","70","70","0","0","0"
"290816","71","71","71","0","0","0"
"294912","72","72","72","0","0","0"
"299008","73","73","73","0","0","0"
"303104","74","74","74","0","0","0"
"307200","75","75","75","0","0","0"
"311296","76","76","76","0","0","0"
"315392","77","77","77","0","0","0"
"319488","78","78","78","0","0","0"
"323584","79","79","79","0.35400390625","0.35400390625","0.35400390625"
"327680","80","80","80","0.390625","0.390625","0.390625"
"331776","81","81","81","0.390625","0.390625","0.390625"
"335872","82","82","82","0.390625","0.390625","0.390625"
"339968","83","83","83","0.390625","0.390625","0.390625"
"344064","84","84","84","0.390625","0.390625","0.390625"
"348160","85","85","85","0.390625","0.390625","0.390625"
"352256","86","86","86","0.390625","0.390625","0.390625"
"356352","87","87","87","0.390625","0.390625","0.390625"
"360448","88","88","88","0.390625","0.390625","0.390625"
"364544","89","89","89","0.390625","0.390625","0.390625"
"368640","90","90","90","0.390625","0.390625","0.390625"
"372736","91","91","91","0.390625","0.390625","0.390625"
"376832","92","92","92","0.390625","0.390625","0.390625"
"380928","93","93","93","0.390625","0.390625","0.390625"
"385024","94","94","94","0.390625","0.390625","0.390625"
"389120","95","95","95","0.390625","0.390625","0.390625"
"393216","96","96","96","0.390625","0.390625","0.390625"
"397312","97","97","97","0.390625","0.390625","0.390625"
"401408","98","98","98","0.390625","0.390625","0.390625"
"405504","99","99","99","0.390625","0.390625","0.390625"
"409600","100","100","100","0.390625","0.390625","0.390625"
"413696","101","101","101","0.390625","0.390625","0.390625"
"417792","102","102","102","0.390625","0.390625","0.390625"
"421888","103","103","103","0.390625","0.390625","0.390625"
"425984","104","104","104","0.390625","0.390625","0.390625"
"430080","105","105","105","0.390625","0.390625","0.390625"
"434176","106","106","106","0.390625","0.390625","0.390625"
"438272","107","107","107","0.390625","0.390625","0.390625"
"442368","108","108","108","0.390625","0.390625","0.390625"
"446464","109","109","109","0.390625","0.390625","0.390625"
"450560","110","110","110","0.390625","0.390625","0.390625"
"454656","111","111","111","0.390625","0.390625","0.390625"
"458752","112","112","112","0.390625","0.390625","0.390625"
"462848","113","113","113","0.390625","0.390625","0.390625"
"466944","114","114","114","0.390625","0.390625","0.390625"
"471040","115","115","115","0.390625","0.390625","0.390625"
"475136","116","116","116","0.390625","0.390625","0.390625"
"479232","117","117","117","0.390625","0.390625","0.390625"
"483328","118","118","118","0.390625","0.390625","0.390625"
"487424","119","119","119","0.390625","0.390625","0.390625"
"491520","120","120","120","0.390625","0.390625","0.390625"
"495616","121","121","121","0.390625","0.390625","0.390625"
"499712","122","122","122","0.390625","0.390625","0.390625"
"503808","123","123","123","0.390625","0.390625","0.390625"
"507904","124","124","124","0.390625","0.390625","0.390625"
"512000","125","125","125","0.390625","0.390625","0.390625"
"516096","126","126","126","0.390625","0.390625","0.390625"
"520192","127","127","127","0.390625","0.390625","0.390625"
"524288","128","128","128","0.390625","0.390625","0.390625"
"528384","129","129","129","0.390625","0.390625","0.390625"
"532480","130","130","130","0.390625","0.390625","0.390625"
"536576","131","131","131","0.390625","0.390625","0.390625"
"540672","132","132","132","0.390625","0.390625","0.390625"
"544768","133","133","133","0.390625","0.390625","0.390625"
"548864","134","134","134","0.390625","0.390625","0.390625"
"552960","135","135","135","0.390625","0.390625","0.390625"
"557056","136","136","136","0.390625","0.390625","0.390625"
"561152","137","137","137","0.390625","0.390625","0.390625"
"565248","138","138","138","0.390625","0.390625","0.390625"
"569344","139","139","139","0.390625","0.390625","0.390625"
"573440","140","140","140","0.390625","0.390625","0.390625"
"577536","141","141","141","0.390625","0.390625","0.390625"
"581632","142","142","142","0.390625","0.390625","0.390625"
"585728","143","143","143","0.390625","0.390625","0.390625"
"589824","144","144","144","0.390625","0.390625","0.390625"
"593920","145","145","145","0.390625","0.390625","0.390625"
"598016","146","146","146","0.390625","0.390625","0.390625"
"602112","147","147","147","0.390625","0.390625","0.390625"
"606208","148","148","148","0.390625","0.390625","0.390625"
"610304","149","149","149","0.390625","0.390625","0.390625"
"614400","150","150","150","0.390625","0.390625","0.390625"
"618496","151","151","151","0.390625","0.390625","0.390625"
"622592","152","152","152","0.390625","0.390625","0.390625"
"626688","153","153","153","0.390625","0.390625","0.390625"
"630784","154","154","154","0.390625","0.390625","0.390625"
"634880","155","155","155","0.390625","0.390625","0.390625"
"638976","156","156","156","0.390625","0.390625","0.390625"
"643072","157","157","157","0.4150390625","0.4150390625","0.4150390625"
"647168","158","158","158","0.421875","0.421875","0.421875"
"651264","159","159","159","0.421875","0.421875","0.421875"
"655360","160","160","160","0.421875","0.421875","0.421875"
"659456","161","161","161","0.421875","0.421875","0.421875"
"663552","162","162","162","0.421875","0.421875","0.421875"
"667648","163","163","163","0.421875","0.421875","0.421875"
"671744","164","164","164","0.421875","0.421875","0.421875"
"675840","165","165","165","0.421875","0.421875","0.421875"
"679936","166","166","166","0.421875","0.421875","0.421875"
"684032","167","167","167","0.421875","0.421875","0.421875"
"688128","168","168","168","0.421875","0.421875","0.421875"
"692224","169","169","169","0.421875","0.421875","0.421875"
"696320","170","170","170","0.421875","0.421875","0.421875"
"700416","171","171","171","0.421875","0.421875","0.421875"
"704512","172","172","172","0.421875","0.421875","0.421875"
"708608","173","173","173","0.421875","0.421875","0.421875"
"712704","174","174","174","0.421875","0.421875","0.421875"
"716800","175","175","175","0.421875","0.421875","0.421875"
"720896","176","176","176","0.421875","0.421875","0.421875"
"724992","177","177","177","0.421875","0.421875","0.421875"
"729088","178","178","178","0.421875","0.421875","0.421875"
"733184","179","179","179","0.421875","0.421875","0.421875"
"737280","180","180","180","0.421875","0.421875","0.421875"
"741376","181","181","181","0.421875","0.421875","0.421875"
"745472","182","182","182","0.421875","0.421875","0.421875"
"749568","183","183","183","0.421875","0.421875","0.421875"
"753664","184","184","184","0.421875","0.421875","0.421875"
"757760","185","185","185","0.421875","0.421875","0.421875"
"761856","186","186","186","0.421875","0.421875","0.421875"
"765952","187","187","187","0.421875","0.421875","0.421875"
"770048","188","188","188","0.421875","0.421875","0.421875"
"774144","189","189","189","0.421875","0.421875","0.421875"
"778240","190","190","190","0.421875","0.421875","0.421875"
"782336","191","191","191","0.421875","0.421875","0.421875"
"786432","192","192","192","0.421875","0.421875","0.421875"
"790528","193","193","193","0.421875","0.421875","0.421875"
"794624","194","194","194","0.421875","0.421875","0.421875"
"798720","195","195","195","0.421875","0.421875","0.421875"
"802816","196","196","196","0.421875","0.421875","0.421875"
"806912","197","197","197","0.421875","0.421875","0.421875"
"811008","198","198","198","0.421875","0.421875","0.421875"
"815104","199","199","199","0.421875","0.421875","0.421875"
"819200","200","200","200","0.421875","0.421875","0.421875"
"823296","201","201","201","0.421875","0.421875","0.421875"
"827392","202","202","202","0.421875","0.421875","0.421875"
"831488","203","203","203","0.421875","0.421875","0.421875"
"835584","204","204","204","0.421875","0.421875","0.421875"
"839680","205","205","205","0.421875","0.421875","0.421875"
"843776","206","206","206","0.421875","0.421875","0.421875"
"847872","207","207","207","0.421875","0.421875","0.421875"
"851968","208","208","208","0.421875","0.421875","0.421875"
"856064","209","209","209","0.421875","0.421875","0.421875"
"860160","210","210","210","0.421875","0.421875","0.421875"
"864256","211","211","211","0.421875","0.421875","0.421875"
"868352","212","212","212","0.421875","0.421875","0.421875"
"872448","213","213","213","0.421875","0.421875","0.421875"
"876544","214","214","214","0.421875","0.421875","0.421875"
"880640","215","215","215","0.421875","0.421875","0.421875"
"884736","216","216","216","0.421875","0.421875","0.421875"
"888832","217","217","217","0.421875","0.421875","0.421875"
"892928","218","218","218","0.421875","0.421875","0.421875"
"897024","219","219","219","0.421875","0.421875","0.421875"
"901120","220","220","220","0.421875","0.421875","0.421875"
"905216","221","221","221","0.421875","0.421875","0.421875"
"909312","222","222","222","0.421875","0.421875","0.421875"
"913408","223","223","223","0.421875","0.421875","0.421875"
"917504","224","224","224","0.421875","0.421875","0.421875"
"921600","225","225","225","0.421875","0.421875","0.421875"
"925696","226","226","226","0.421875","0.421875","0.421875"
"929792","227","227","227","0.421875","0.421875","0.421875"
"933888","228","228","228","0.421875","0.421875","0.421875"
"937984","229","229","229","0.421875","0.421875","0.421875"
"942080","230","230","230","0.421875","0.421875","0.421875"
"946176","231","231","231","0.421875","0.421875","0.421875"
"950272","232","232","232","0.421875","0.421875","0.421875"
"954368","233","233","233","0.421875","0.421875","0.421875"
"958464","234","234","234","0.421875","0.421875","0.421875"
"962560","235","235","235","1.226806640625","1.226806640625","1.226806640625"
"966656","236","236","236","1.6484375","1.6484375","1.6484375"
"970752","237","237","237","1.6484375","1.6484375","1.6484375"
"974848","238","238","238","1.6484375","1.6484375","1.6484375"
"978944","239","239","239","1.6484375","1.6484375","1.6484375"
"983040","240","240","240","1.6484375","1.6484375","1.6484375"
"987136","241","241","241","1.6484375","1.6484375","1.6484375"
"991232","242","242","242","1.6484375","1.6484375","1.6484375"
"995328","243","243","243","1.6484375","1.6484375","1.6484375"
"999424","244","244","244","1.6484375","1.6484375","1.6484375"
"1003520","245","245","245","1.6484375","1.6484375","1.6484375"
"1007616","246","246","246","1.6484375","1.6484375","1.6484375"
"1011712","247","247","247","1.6484375","1.6484375","1.6484375"
"1015808","248","248","248","1.6484375","1.6484375","1.6484375"
"1019904","249","249","249","1.6484375","1.6484375","1.6484375"
"1024000","250","250","250","1.6484375","1.6484375","1.6484375"
"1028096","251","251","251","1.6484375","1.6484375","1.6484375"
"1032192","252","252","252","1.6484375","1.6484375","1.6484375"
"1036288","253","253","253","1.6484375","1.6484375","1.6484375"
"1040384","254","254","254","1.6484375","1.6484375","1.6484375"
"1044480","255","255","255","1.6484375","1.6484375","1.6484375"
"1048576","256","256","256","1.6484375","1.6484375","1.6484375"
"1052672","257","257","257","1.6484375","1.6484375","1.6484375"
"1056768","258","258","258","1.6484375","1.6484375","1.6484375"
"1060864","259","259","259","1.6484375","1.6484375","1.6484375"
"1064960","260","260","260","1.6484375","1.6484375","1.6484375"
"1069056","261","261","261","1.6484375","1.6484375","1.6484375"
"1073152","262","262","262","1.6484375","1.6484375","1.6484375"
"1077248","263","263","263","1.6484375","1.6484375","1.6484375"
"1081344","264","264","264","1.6484375","1.6484375","1.6484375"
"1085440","265","265","265","1.6484375","1.6484375","1.6484375"
"1089536","266","266","266","1.6484375","1.6484375","1.6484375"
"1093632","267","267","267","1.6484375","1.6484375","1.6484375"
"1097728","268","268","268","1.6484375","1.6484375","1.6484375"
"1101824","269","269","269","1.6484375","1.6484375","1.6484375"
"1105920","270","270","270","1.6484375","1.6484375","1.6484375"
"1110016","271","271","271","1.6484375","1.6484375","1.6484375"
"1114112","272","272","272","1.6484375","1.6484375","1.6484375"
"1118208","273","273","273","1.6484375","1.6484375","1.6484375"
"1122304","274","274","274","1.6484375","1.6484375","1.6484375"
"1126400","275","275","275","1.6484375","1.6484375","1.6484375"
"1130496","276","276","276","1.6484375","1.6484375","1.6484375"
"1134592","277","277","277","1.6484375","1.6484375","1.6484375"
"1138688","278","278","278","1.6484375","1.6484375","1.6484375"
"1142784","279","279","279","1.6484375","1.6484375","1.6484375"
"1146880","280","280","280","1.6484375","1.6484375","1.6484375"
"1150976","281","281","281","1.6484375","1.6484375","1.6484375"
"1155072","282","282","282","1.6484375","1.6484375","1.6484375"
"1159168","283","283","283","1.6484375","1.6484375","1.6484375"
"1163264","284","284","284","1.6484375","1.6484375","1.6484375"
"1167360","285","285","285","1.6484375","1.6484375","1.6484375"
"1171456","286","286","286","1.6484375","1.6484375","1.6484375"
"1175552","287","287","287","1.6484375","1.6484375","1.6484375"
"1179648","288","288","288","1.6484375","1.6484375","1.6484375"
"1183744","289","289","289","1.6484375","1.6484375","1.6484375"
"1187840","290","290","290","1.6484375","1.6484375","1.6484375"
"1191936","291","291","291","1.6484375","1.6484375","1.6484375"
"1196032","292","292","292","1.6484375","1.6484375","1.6484375"
"1200128","293","293","293","1.6484375","1.6484375","1.6484375"
"1204224","294","294","294","1.6484375","1.6484375","1.6484375"
"1208320","295","295","295","1.6484375","1.6484375","1.6484375"
"1212416","296","296","296","1.6484375","1.6484375","1.6484375"
"1216512","297","297","297","1.6484375","1.6484375","1.6484375"
"1220608","298","298","298","1.6484375","1.6484375","1.6484375"
"1224704","299","299","299","1.6484375","1.6484375","1.6484375"
"1228800","300","300","300","1.6484375","1.6484375","1.6484375"
"1232896","301","301","301","1.6484375","1.6484375","1.6484375"
"1236992","302","302","302","1.6484375","1.6484375","1.6484375"
"1241088","303","303","303","1.6484375","1.6484375","1.6484375"
"1245184","304","304","304","1.6484375","1.6484375","1.6484375"
"1249280","305","305","305","1.6484375","1.6484375","1.6484375"
"1253376","306","306","306","1.6484375","1.6484375","1.6484375"
"1257472","307","307","307","1.6484375","1.6484375","1.6484375"
"1261568","308","308","308","1.6484375","1.6484375","1.6484375"
"1265664","309","309","309","1.6484375","1.6484375","1.6484375"
"1269760","310","310","310","1.6484375","1.6484375","1.6484375"
"1273856","311","311","311","1.6484375","1.6484375","1.6484375"
"1277952","312","312","312","1.6484375","1.6484375","1.6484375"
"1282048","313","313","313","4.657470703125","4.657470703125","4.657470703125"
"1286144","314","314","314","7.3125","7.3125","7.3125"
"1290240","315","315","315","7.3125","7.3125","7.3125"
"1294336","316","316","316","7.3125","7.3125","7.3125"
"1298432","317","317","317","7.3125","7.3125","7.3125"
"1302528","318","318","318","7.3125","7.3125","7.3125"
"1306624","319","319","319","7.3125","7.3125","7.3125"
"1310720","320","320","320","7.3125","7.3125","7.3125"
"1314816","321","321","321","7.3125","7.3125","7.3125"
"1318912","322","322","322","7.3125","7.3125","7.3125"
"1323008","323","323","323","7.3125","7.3125","7.3125"
"1327104","324","324","324","7.3125","7.3125","7.3125"
"1331200","325","325","325","7.3125","7.3125","7.3125"
"1335296","326","326","326","7.3125","7.3125","7.3125"
"1339392","327","327","327","7.3125","7.3125","7.3125"
"1343488","328","328","328","7.3125","7.3125","7.3125"
"1347584","329","329","329","7.3125","7.3125","7.3125"
"1351680","330","330","330","7.3125","7.3125","7.3125"
"1355776","331","331","331","7.3125","7.3125","7.3125"
"1359872","332","332","332","7.3125","7.3125","7.3125"
"1363968","333","333","333","7.3125","7.3125","7.3125"
"1368064","334","334","334","7.3125","7.3125","7.3125"
"1372160","335","335","335","7.3125","7.3125","7.3125"
"1376256","336","336","336","7.3125","7.3125","7.3125"
"1380352","337","337","337","7.3125","7.3125","7.3125"
"1384448","338","338","338","7.3125","7.3125","7.3125"
"1388544","339","339","339","7.3125","7.3125","7.3125"
"1392640","340","340","340","7.3125","7.3125","7.3125"
"1396736","341","341","341","7.3125","7.3125","7.3125"
"1400832","342","342","342","7.3125","7.3125","7.3125"
"1404928","343","343","343","7.3125","7.3125","7.3125"
"1409024","344","344","344","7.3125","7.3125","7.3125"
"1413120","345","345","345","7.3125","7.3125","7.3125"
"1417216","346","346","346","7.3125","7.3125","7.3125"
"1421312","347","347","347","7.3125","7.3125","7.3125"
"1425408","348","348","348","7.3125","7.3125","7.3125"
"1429504","349","349","349","7.3125","7.3125","7.3125"
"1433600","350","350","350","7.3125","7.3125","7.3125"
"1437696","351","351","351","7.3125","7.3125","7.3125"
"1441792","352","352","352","7.3125","7.3125","7.3125"
"1445888","353","353","353","7.3125","7.3125","7.3125"
"1449984","354","354","354","7.3125","7.3125","7.3125"
"1454080","355","355","355","7.3125","7.3125","7.3125"
"1458176","356","356","356","7.3125","7.3125","7.3125"
"1462272","357","357","357","7.3125","7.3125","7.3125"
"1466368","358","358","358","7.3125","7.3125","7.3125"
"1470464","359","359","359","7.3125","7.3125","7.3125"
"1474560","360","360","360","7.3125","7.3125","7.3125"
"1478656","361","361","361","7.3125","7.3125","7.3125"
"1482752","362","362","362","7.3125","7.3125","7.3125"
"1486848","363","363","363","7.3125","7.3125","7.3125"
"1490944","364","364","364","7.3125","7.3125","7.3125"
"1495040","365","365","365","7.3125","7.3125","7.3125"
"1499136","366","366","366","7.3125","7.3125","7.3125"
"1503232","367","367","367","7.3125","7.3125","7.3125"
"1507328","368","368","368","7.3125","7.3125","7.3125"
"1511424","369","369","369","7.3125","7.3125","7.3125"
"1515520","370","370","370","7.3125","7.3125","7.3125"
"1519616","371","371","371","7.3125","7.3125","7.3125"
"1523712","372","372","372","7.3125","7.3125","7.3125"
"1527808","373","373","373","7.3125","7.3125","7.3125"
"1531904","374","374","374","7.3125","7.3125","7.3125"
"1536000","375","375","375","7.3125","7.3125","7.3125"
"1540096","376","376","376","7.3125","7.3125","7.3125"
"1544192","377","377","377","7.3125","7.3125","7.3125"
"1548288","378","378","378","7.3125","7.3125","7.3125"
"1552384","379","379","379","7.3125","7.3125","7.3125"
"1556480","380","380","380","7.3125","7.3125","7.3125"
"1560576","381","381","381","7.3125","7.3125","7.3125"
"1564672","382","382","382","7.3125","7.3125","7.3125"
"1568768","383","383","383","7.3125","7.3125","7.3125"
"1572864","384","384","384","7.3125","7.3125","7.3125"
"1576960","385","385","385","7.3125","7.3125","7.3125"
"1581056","386","386","386","7.3125","7.3125","7.3125"
"1585152","387","387","387","7.3125","7.3125","7.3125"
"1589248","388","388","388","7.3125","7.3125","7.3125"
"1593344","389","389","389","7.3125","7.3125","7.3125"
"1597440","390","390","390","7.3125","7.3125","7.3125"
"1601536","391","391","391","10.362548828125","10.362548828125","10.362548828125"
"1605632","392","392","392","14.8203125","14.8203125","14.8203125"
"1609728","393","393","393","14.8203125","14.8203125","14.8203125"
"1613824","394","394","394","14.8203125","14.8203125","14.8203125"
"1617920","395","395","395","14.8203125","14.8203125","14.8203125"
"1622016","396","396","396","14.8203125","14.8203125","14.8203125"
"1626112","397","397","397","14.8203125","14.8203125","14.8203125"
"1630208","398","398","398","14.8203125","14.8203125","14.8203125"
"1634304","399","399","399","14.8203125","14.8203125","14.8203125"
"1638400","400","400","400","14.8203125","14.8203125","14.8203125"
"1642496","401","401","401","14.8203125","14.8203125","14.8203125"
"1646592","402","402","402","14.8203125","14.8203125","14.8203125"
"1650688","403","403","403","14.8203125","14.8203125","14.8203125"
"1654784","404","404","404","14.8203125","14.8203125","14.8203125"
"1658880","405","405","405","14.8203125","14.8203125","14.8203125"
"1662976","406","406","406","14.8203125","14.8203125","14.8203125"
"1667072","407","407","407","14.8203125","14.8203125","14.8203125"
"1671168","408","408","408","14.8203125","14.8203125","14.8203125"
"1675264","409","409","409","14.8203125","14.8203125","14.8203125"
"1679360","410","410","410","14.8203125","14.8203125","14.8203125"
"1683456","411","411","411","14.8203125","14.8203125","14.8203125"
"1687552","412","412","412","14.8203125","14.8203125","14.8203125"
"1691648","413","413","413","14.8203125","14.8203125","14.8203125"
"1695744","414","414","414","14.8203125","14.8203125","14.8203125"
"1699840","415","415","415","14.8203125","14.8203125","14.8203125"
"1703936","416","416","416","14.8203125","14.8203125","14.8203125"
"1708032","417","417","417","14.8203125","14.8203125","14.8203125"
"1712128","418","418","418","14.8203125","14.8203125","14.8203125"
"1716224","419","419","419","14.8203125","14.8203125","14.8203125"
"1720320","420","420","420","14.8203125","14.8203125","14.8203125"
"1724416","421","421","421","14.8203125","14.8203125","14.8203125"
"1728512","422","422","422","14.8203125","14.8203125","14.8203125"
"1732608","423","423","423","14.8203125","14.8203125","14.8203125"
"1736704","424","424","424","14.8203125","14.8203125","14.8203125"
"1740800","425","425","425","14.8203125","14.8203125","14.8203125"
"1744896","426","426","426","14.8203125","14.8203125","14.8203125"
"1748992","427","427","427","14.8203125","14.8203125","14.8203125"
"1753088","428","428","428","14.8203125","14.8203125","14.8203125"
"1757184","429","429","429","14.8203125","14.8203125","14.8203125"
"1761280","430","430","430","14.8203125","14.8203125","14.8203125"
"1765376","431","431","431","14.8203125","14.8203125","14.8203125"
"1769472","432","432","432","14.8203125","14.8203125","14.8203125"
"1773568","433","433","433","14.8203125","14.8203125","14.8203125"
"1777664","434","434","434","14.8203125","14.8203125","14.8203125"
"1781760","435","435","435","14.8203125","14.8203125","14.8203125"
"1785856","436","436","436","14.8203125","14.8203125","14.8203125"
"1789952","437","437","437","14.8203125","14.8203125","14.8203125"
"1794048","438","438","438","14.8203125","14.8203125","14.8203125"
"1798144","439","439","439","14.8203125","14.8203125","14.8203125"
"1802240","440","440","440","14.8203125","14.8203125","14.8203125"
"1806336","441","441","441","14.8203125","14.8203125","14.8203125"
"1810432","442","442","442","14.8203125","14.8203125","14.8203125"
"1814528","443","443","443","14.8203125","14.8203125","14.8203125"
"1818624","444","444","444","14.8203125","14.8203125","14.8203125"
"1822720","445","445","445","14.8203125","14.8203125","14.8203125"
"1826816","446","446","446","14.8203125","14.8203125","14.8203125"
"1830912","447","447","447","14.8203125","14.8203125","14.8203125"
"1835008","448","448","448","14.8203125","14.8203125","14.8203125"
"1839104","449","449","449","14.8203125","14.8203125","14.8203125"
"1843200","450","450","450","14.8203125","14.8203125","14.8203125"
"1847296","451","451","451","14.8203125","14.8203125","14.8203125"
"1851392","452","452","452","14.8203125","14.8203125","14.8203125"
"1855488","453","453","453","14.8203125","14.8203125","14.8203125"
"1859584","454","454","454","14.8203125","14.8203125","14.8203125"
"1863680","455","455","455","14.8203125","14.8203125","14.8203125"
"1867776","456","456","456","14.8203125","14.8203125","14.8203125"
"1871872","457","457","457","14.8203125","14.8203125","14.8203125"
"1875968","458","458","458","14.8203125","14.8203125","14.8203125"
"1880064","459","459","459","14.8203125","14.8203125","14.8203125"
"1884160","460","460","460","14.8203125","14.8203125","14.8203125"
"1888256","461","461","461","14.8203125","14.8203125","14.8203125"
"1892352","462","462","462","14.8203125","14.8203125","14.8203125"
"1896448","463","463","463","14.8203125","14.8203125","14.8203125"
"1900544","464","464","464","14.8203125","14.8203125","14.8203125"
"1904640","465","465","465","14.8203125","14.8203125","14.8203125"
"1908736","466","466","466","14.8203125","14.8203125","14.8203125"
"1912832","467","467","467","14.8203125","14.8203125","14.8203125"
"1916928","468","468","468","14.8203125","14.8203125","14.8203125"
"1921024","469","469","469","17.582275390625","17.582275390625","17.582275390625"
"1925120","470","470","470","24.640625","24.640625","24.640625"
"1929216","471","471","471","24.640625","24.640625","24.640625"
"1933312","472","472","472","24.640625","24.640625","24.640625"
"1937408","473","473","473","24.640625","24.640625","24.640625"
"1941504","474","474","474","24.640625","24.640625","24.640625"
"1945600","475","475","475","24.640625","24.640625","24.640625"
"1949696","476","476","476","24.640625","24.640625","24.640625"
"1953792","477","477","477","24.640625","24.640625","24.640625"
"1957888","478","478","478","24.640625","24.640625","24.640625"
"1961984","479","479","479","24.640625","24.640625","24.640625"
"1966080","480","480","480","24.640625","24.640625","24.640625"
"1970176","481","481","481","24.640625","24.640625","24.640625"
"1974272","482","482","482","24.640625","24.640625","24.640625"
"1978368","483","483","483","24.640625","24.640625","24.640625"
"1982464","484","484","484","24.640625","24.640625","24.640625"
"1986560","485","485","485","24.640625","24.640625","24.640625"
"1990656","486","486","486","24.640625","24.640625","24.640625"
"1994752","487","487","487","24.640625","24.640625","24.640625"
"1998848","488","488","488","24.640625","24.640625","24.640625"
"2002944","489","489","489","24.640625","24.640625","24.640625"
"2007040","490","490","490","24.640625","24.640625","24.640625"
"2011136","491","491","491","24.640625","24.640625","24.640625"
"2015232","492","492","492","24.640625","24.640625","24.640625"
"2019328","493","493","493","24.640625","24.640625","24.640625"
"2023424","494","494","494","24.640625","24.640625","24.640625"
"2027520","495","495","495","24.640625","24.640625","24.640625"
"2031616","496","496","496","24.640625","24.640625","24.640625"
"2035712","497","497","497","24.640625","24.640625","24.640625"
"2039808","498","498","498","24.640625","24.640625","24.640625"
"2043904","499","499","499","24.640625","24.640625","24.640625"
"2048000","500","500","500","24.640625","24.640625","24.640625"
"2052096","501","501","501","24.640625","24.640625","24.640625"
"2056192","502","502","502","24.640625","24.640625","24.640625"
"2060288","503","503","503","24.640625","24.640625","24.640625"
"2064384","504","504","504","24.640625","24.640625","24.640625"
"2068480","505","505","505","24.640625","24.640625","24.640625"
"2072576","506","506","506","24.640625","24.640625","24.640625"
"2076672","507","507","507","24.640625","24.640625","24.640625"
"2080768","508","508","508","24.640625","24.640625","24.640625"
"2084864","509","509","509","24.640625","24.640625","24.640625"
"2088960","510","510","510","24.640625","24.640625","24.640625"
"2093056","511","511","511","24.640625","24.640625","24.640625"
"2097152","512","512","512","24.640625","24.640625","24.640625"
"2101248","513","513","513","24.640625","24.640625","24.640625"
"2105344","514","514","514","24.640625","24.640625","24.640625"
"2109440","515","515","515","24.640625","24.640625","24.640625"
"2113536","516","516","516","24.640625","24.640625","24.640625"
"2117632","517","517","517","24.640625","24.640625","24.640625"
